Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0201,4,22pf,
"C10, C7",CP_Elec_4x5.8,2,4.7uf,
"C11, C13, C15, C5",0201,4,100nf,
"C6, C8, C9",0201,3,1uf,
"D1, D2, D3, D4",0603,4,LED,
D5,D_SMA,1,SS13,
F1,0603,1,Fuse,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
"J3, J4",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
"J5, J6",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
J7,MOLEX_502570-0893,1,502570-0893,
"R1, R14, R2, R3, R4, R5, R7, R8",0201,8,1k,
"R10, R11, R12, R9",0201,4,3.3k,
R13,0201,1,2k,
"R15, R6",0201,2,10k,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,
SW2,SW_PUSH_6mm,1,SW_Push_Dual,
SW4,SW_SPDT_PCM12,1,SW_SPDT,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U3,TO-252-3_TabPin2,1,LM1117DT-5.0,
U4,TSSOP14_SOT402-1_NEX,1,74LVC125APW_118,
U5,MODULE_ESP-01,1,ESP-01,
Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,Crystal,
Y2,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,12Mhz,
