Designator,Mid X,Mid Y,Rotation,Layer
C1,158.1,-56.86,270.0,top
C10,101.21,-62.03,270.0,top
C11,106.01,-62.805,90.0,top
C13,160.665,-56.43,180.0,top
C15,152.505,-69.69,0.0,top
C2,148.97,-58.33,270.0,top
C3,129.87,-62.28,225.0,top
C4,134.4,-66.69,45.0,top
C5,143.256048,-53.396048,315.0,top
C6,112.56,-66.835,90.0,top
C7,126.56,-57.04,0.0,top
C8,112.52,-64.6725,270.0,top
C9,112.59,-62.325,270.0,top
D1,159.68,-49.5075,270.0,top
D2,156.23,-49.4675,270.0,top
D3,145.68,-64.36,45.0,top
D4,109.22,-63.5325,270.0,top
D5,99.49,-54.21,270.0,top
F1,105.89,-66.685,90.0,top
J1,102.06,-75.19,0.0,top
J3,133.12,-74.97,90.0,top
J4,165.5,-54.01,0.0,top
J5,106.02,-45.91,270.0,top
J6,106.0,-43.35,270.0,top
J7,145.3,-41.2,0.0,top
R1,161.255,-60.75,180.0,top
R10,117.735,-49.27,180.0,top
R11,130.82,-48.56,180.0,top
R12,130.405,-46.41,180.0,top
R13,113.12,-50.21,0.0,top
R14,113.67,-52.01,0.0,top
R15,105.55,-49.27,0.0,top
R2,161.305,-59.2,0.0,top
R3,132.05,-55.07,315.0,top
R4,134.8,-52.31,315.0,top
R5,146.64,-55.66,45.0,top
R6,155.355,-69.69,180.0,top
R7,110.1,-67.05,270.0,top
R8,157.375,-43.53,0.0,top
R9,117.735,-46.33,180.0,top
SW1,157.73,-35.31,270.0,top
SW2,120.26,-36.16,0.0,top
SW4,131.12,-32.06,180.0,top
U1,154.225,-65.135,180.0,top
U2,139.064897,-59.355305,315.0,top
U3,121.12,-63.99,0.0,top
U4,123.87725,-47.589999,0.0,top
U5,106.0,-44.63,0.0,top
Y1,131.39,-64.83,45.0,top
Y2,153.41,-58.19,0.0,top
